пожаловаться,3,0
пожелать,1,1
поздравить,6,1
поздравлять,3,1
поймать,3,0
покорить,1,0
полюбить,3,1
помешать,1,0
помиловать,6,1
помогать,6,1
помочь,6,1
понадеяться,1,0
понравиться,3,1
пообещать,1,1
поощрить,3,1
поощрять,6,1
поправиться,1,1
попросить,1,1
порадовать,6,1
порадоваться,1,1
поражать,3,1
поразить,6,1
порочить,6,0
портить,3,0
поругаться,3,0
посетовать,1,0
поспособствовать,1,1
поссориться,6,0
постараться,1,1
пострадать,6,0
потерпеть,1,0
потерять,3,0
потеснить,1,0
потребовать,6,0
потрясать,1,1
потрясти,1,1
похвалить,6,1
похвастаться,3,1
похитить,6,0
похищать,6,0
похоронить,3,0
пошутить,1,1
превзойти,6,0
превосходить,1,0
предостерегать,3,1
предостеречь,3,1
предотвратить,6,0
предотвращать,3,0
предпочесть,1,0
предпочитать,1,0
предупредить,1,1
предупреждать,1,1
прекратить,1,0
пренебрегать,3,0
пренебречь,3,0
препятствовать,1,0
прервать,1,0
прерывать,1,0
пресекать,3,0
пресечь,3,0
преследовать,3,0
пресмыкаться,6,1
приветствовать,1,1
привлекать,1,1
приговаривать,3,0
приговорить,6,0
пригрозить,3,0
приказать,6,0
приказывать,1,0
принудить,6,0
принуждать,6,0
принять,1,1
присваивать,1,1
присвоить,1,1
присудить,1,1
присягнуть,1,1
провалиться,3,0
провоцировать,3,0
прогнать,3,0
прогрессировать,6,1
проигнорировать,1,0
проиграть,3,0
проигрывать,3,0
проникать,1,0
проникнуть,1,0
пропагандировать,1,0
прорвать,1,0
прострелить,3,0
протестовать,3,0
противодействовать,3,0
противоречить,3,0
противостоять,3,0
профинансировать,1,1
пугать,6,0
пытать,6,0
радовать,3,1
радоваться,3,1
разбивать,3,1
разбираться,1,1
разбить,3,0
разбомбить,6,0
развалиться,3,0
разгневать,6,0
разгонять,3,0
разграбить,6,0
разгромить,3,0
раздавить,3,0
раздражать,6,0
разжигать,3,0
разминировать,3,0
разнести,1,0
разоблачить,6,0
разогнать,3,0
разозлиться,3,0
разорить,6,0
разоружить,3,0
разочаровать,6,0
разочароваться,3,0
разрешать,1,0
разрешаться,1,0
разрешить,1,1
разрушать,6,0
разрушить,6,0
разыскивать,1,0
раскаиваться,6,0
раскаяться,6,1
расколоть,3,0
расколоться,1,0
раскритиковать,6,0
расплакаться,3,0
расправиться,6,0
расстреливать,6,0
расстрелять,6,0
расстроить,6,0
расстроиться,3,0
ратифицировать,1,1
рекомендовать,1,1
решиться,1,1
рискнуть,1,1
рисковать,3,1
ругаться,3,0
свалиться,3,0
свергнуть,6,0
сетовать,1,0
симпатизировать,3,1
скончаться,6,0
скорбеть,3,1
скрывать,3,0
скрыть,1,0
сломать,3,0
сломаться,3,0
смягчить,3,1
совершенствовать,1,1
советовать,1,1
согласиться,3,1
соглашаться,1,1
содействовать,3,1
сожалеть,6,0
сомневаться,1,0
сопротивляться,6,0
сорвать,3,0
сотрудничать,1,1
сочувствовать,3,1
спасать,6,1
спасаться,6,1
спасти,3,1
спастись,6,1
сплотить,3,1
спонсировать,1,1
способствовать,1,1
спровоцировать,3,0
спрятать,1,0
сработать,1,0
сражаться,3,0
сразиться,3,0
срывать,1,0
ссориться,3,0
страдать,6,0
стрелять,6,0
субсидировать,1,1
судить,3,0
схватить,3,0
творить,1,1
терпеть,6,0
терроризировать,6,0
терять,1,0
толкать,1,0
толкнуть,6,0
травить,6,0
травмировать,6,0
требовать,6,0
убивать,6,0
убить,6,0
уважать,6,1
увлечься,1,1
угнать,6,0
угодить,1,1
угрожать,6,1
удаваться,6,1
ударить,6,0
удариться,3,0
удаться,1,1
ужесточать,6,0
ужесточить,6,0
уклониться,3,0
уклоняться,3,0
украсить,3,0
украсть,6,0
украшать,1,1
укрепить,3,1
укреплять,1,1
укрепляться,1,1
укрывать,3,1
уличить,6,0
улучшать,3,1
улучшаться,3,1
улучшить,3,1
улучшиться,3,1
умереть,6,0
умирать,6,0
унижать,6,0
унизить,6,0
уничтожать,6,0
уничтожить,6,0
упасть,3,0
упрекать,3,0
упрекнуть,6,0
упустить,1,0
урезать,3,0
усиливать,1,1
усовершенствовать,1,1
устроить,1,1
усугубить,3,0
усугублять,3,0
утерять,1,0
утратить,3,0
ухудшаться,6,0
ухудшить,6,0
ухудшиться,6,0
ущемлять,6,0
финансировать,1,1
форсировать,1,1
хвастаться,1,1
хватать,1,1
хоронить,3,0
хорошеть,3,1
ценить,3,1
чаять,1,1
шантажировать,6,0
шокировать,3,0
штурмовать,6,0
эксплуатировать,3,0
экстрадировать,3,0
