verb,manual_pos/neg,fasttext_pos/neg
достигать,1,1
достигнуть,1,1
завладеть,1,0
завоевать,1,1
завоёвывать,1,1
искоренить,1,1
лоббировать,1,1
обезвредить,1,0
обезглавить,1,0
обыграть,1,1
обыгрывать,1,1
одолеть,1,0
опередить,1,0
отбиться,1,0
отвоевать,1,0
отогнать,1,0
победить,1,1
побеждать,1,1
побороть,1,0
побороться,1,0
поймать,1,0
покорить,1,1
понадеяться,1,1
превзойти,1,1
превосходить,1,1
предотвратить,1,1
предотвращать,1,1
предпочесть,1,1
предпочитать,1,1
противодействовать,1,1
противостоять,1,1
разминировать,1,1
разоружить,1,0
разрешать,1,1
разрешаться,1,1
раскаиваться,1,0
сожалеть,1,0
сражаться,1,0
сразиться,1,0
схватить,1,0
терпеть,1,0
украсить,1,1
арестовать,0,1
арестовывать,0,0
атаковать,0,0
бастовать,0,1
беспокоить,0,0
бить,0,0
блокировать,0,1
болеть,0,0
бомбить,0,0
бороться,0,0
бояться,0,0
бросаться,0,0
бросить,0,0
бушевать,0,0
взбунтоваться,0,0
взволновать,0,0
взламывать,0,0
взломать,0,0
взорвать,0,0
взрывать,0,0
винить,0,0
воевать,0,0
волновать,0,1
ворваться,0,0
воровать,0,0
воспрепятствовать,0,1
восстать,0,0
востребовать,0,1
враждовать,0,1
врать,0,0
вредить,0,1
врезаться,0,0
вспыхнуть,0,0
встревожить,0,0
вторгаться,0,0
вторгнуться,0,0
выгнать,0,0
выгонять,0,0
выгореть,0,0
выдворить,0,0
выкрасть,0,0
вымереть,0,0
вынудить,0,0
вынуждать,0,1
выследить,0,0
выстрелить,0,0
вытеснить,0,0
вытеснять,0,0
грабить,0,0
грозить,0,0
грозиться,0,0
громить,0,0
давить,0,0
депортировать,0,1
дестабилизировать,0,1
деформировать,0,1
дисквалифицировать,0,1
дискредитировать,0,1
добить,0,0
доминировать,0,1
донести,0,0
допустить,0,1
дорожать,0,1
драться,0,0
душить,0,0
жаловаться,0,0
забивать,0,0
забить,0,0
заблокировать,0,1
заболеть,0,0
забрасывать,0,0
забросить,0,0
загнать,0,0
загореться,0,0
загрызть,0,0
загрязнить,0,0
загрязнять,0,0
задавить,0,0
задержать,0,0
задерживать,0,0
задеть,0,0
задохнуться,0,0
заминировать,0,1
заподозрить,0,0
запретить,0,1
запрещать,0,1
запугать,0,0
запугивать,0,0
зарезать,0,0
зарубить,0,0
заставить,0,0
заставлять,0,0
застрелить,0,0
затребовать,0,1
захватить,0,0
захватывать,0,0
звереть,0,0
злоупотреблять,0,1
игнорировать,0,1
избивать,0,0
избить,0,0
изгнать,0,0
издеваться,0,0
изнасиловать,0,0
изобличить,0,0
израсходовать,0,1
изуродовать,0,0
инкриминировать,0,1
испортить,0,0
испортиться,0,0
испугать,0,0
испугаться,0,0
исчерпать,0,1
казнить,0,0
конфликтовать,0,1
красть,0,0
критиковать,0,1
лгать,0,0
ликвидировать,0,1
лишаться,0,0
лишиться,0,0
ловить,0,0
ломать,0,0
мешать,0,1
мочить,0,0
мстить,0,0
наброситься,0,0
навредить,0,0
навязать,0,0
навязывать,0,1
надоесть,0,0
надругаться,0,0
наехать,0,0
наказать,0,0
нападать,0,0
напасть,0,0
напугать,0,0
нарушать,0,0
нарушить,0,0
насиловать,0,0
нейтрализовать,0,1
ненавидеть,0,0
нервничать,0,0
обвалиться,0,0
обвинить,0,0
обвинять,0,0
обворовать,0,0
обеспокоить,0,1
обжаловать,0,1
обидеть,0,0
обидеться,0,0
обмануть,0,0
обманывать,0,0
обозвать,0,0
обокрасть,0,0
обрушиться,0,0
обстреливать,0,0
обстрелять,0,0
обязать,0,1
обязывать,0,1
оговорить,0,1
огорчить,0,0
ограбить,0,0
озаботить,0,1
оккупировать,0,1
окружить,0,0
опасаться,0,0
опорочить,0,0
осадить,0,0
освистать,0,0
осквернить,0,0
оскорбить,0,0
оскорблять,0,0
ослабить,0,0
ослаблять,0,1
ослабнуть,0,0
осложнить,0,1
осложнять,0,1
осудить,0,1
осуждать,0,1
отбить,0,0
отвергать,0,1
отвергнуть,0,0
отказать,0,1
отказаться,0,1
отказывать,0,1
отклонить,0,1
отклонять,0,1
отомстить,0,0
отпугивать,0,0
отпугнуть,0,0
отравить,0,0
отравиться,0,0
отравлять,0,0
отрицать,0,1
отступить,0,0
оттеснить,0,0
падать,0,0
пасть,0,0
перебить,0,0
перерезать,0,0
переть,0,0
перехватить,0,0
плакать,0,0
плюнуть,0,0
побить,0,0
побояться,0,0
повздорить,0,0
повредить,0,0
погибнуть,0,0
погубить,0,0
подбить,0,0
подводить,0,1
подкупить,0,1
подозревать,0,0
подорвать,0,0
подорожать,0,0
подрывать,0,0
подставить,0,0
пожаловаться,0,1
помешать,0,0
порочить,0,1
портить,0,0
поругаться,0,0
посетовать,0,1
поссориться,0,0
пострадать,0,1
потерпеть,0,0
потерять,0,0
потеснить,0,0
потребовать,0,1
похитить,0,0
похищать,0,0
похоронить,0,0
прекратить,0,0
пренебрегать,0,1
пренебречь,0,1
препятствовать,0,1
прервать,0,0
прерывать,0,1
пресекать,0,1
пресечь,0,1
преследовать,0,0
приговаривать,0,1
приговорить,0,1
пригрозить,0,0
приказать,0,0
приказывать,0,1
принудить,0,1
принуждать,0,1
провалиться,0,0
провоцировать,0,1
прогнать,0,0
проигнорировать,0,1
проиграть,0,0
проигрывать,0,0
проникать,0,0
проникнуть,0,0
пропагандировать,0,1
прорвать,0,0
прострелить,0,0
протестовать,0,1
противоречить,0,1
пугать,0,0
пытать,0,0
разбить,0,0
разбомбить,0,0
развалиться,0,0
разгневать,0,0
разгонять,0,0
разграбить,0,0
разгромить,0,0
раздавить,0,0
раздражать,0,0
разжигать,0,0
разнести,0,0
разоблачить,0,0
разогнать,0,0
разозлиться,0,0
разорить,0,0
разочаровать,0,0
разочароваться,0,0
разрушать,0,0
разрушить,0,0
разыскивать,0,0
расколоть,0,0
расколоться,0,0
раскритиковать,0,1
расплакаться,0,0
расправиться,0,0
расстреливать,0,0
расстрелять,0,0
расстроить,0,0
расстроиться,0,0
ругаться,0,0
свалиться,0,0
свергнуть,0,0
сетовать,0,1
скончаться,0,0
скрывать,0,0
скрыть,0,0
сломать,0,0
сломаться,0,0
сомневаться,0,0
сопротивляться,0,0
сорвать,0,0
спровоцировать,0,1
спрятать,0,0
сработать,0,1
срывать,0,0
ссориться,0,0
страдать,0,0
стрелять,0,0
судить,0,1
терроризировать,0,1
терять,0,0
толкать,0,0
толкнуть,0,0
травить,0,0
травмировать,0,0
требовать,0,1
убивать,0,0
убить,0,0
угнать,0,0
ударить,0,0
удариться,0,0
ужесточать,0,1
ужесточить,0,0
уклониться,0,0
уклоняться,0,0
украсть,0,1
уличить,0,0
умереть,0,0
умирать,0,0
унижать,0,0
унизить,0,0
уничтожать,0,0
уничтожить,0,0
упасть,0,0
упрекать,0,0
упрекнуть,0,0
упустить,0,0
урезать,0,0
усугубить,0,0
усугублять,0,1
утерять,0,0
утратить,0,0
ухудшаться,0,0
ухудшить,0,0
ухудшиться,0,0
ущемлять,0,1
хоронить,0,0
шантажировать,0,1
шокировать,0,1
штурмовать,0,0
эксплуатировать,0,1
экстрадировать,0,1
