verb,manual_tonality,fasttext_tonality,manual_polarity,fasttext_polarity
выигрывать,1.0,0.4662644863128662,1,1
выкрасть,1.0,0.31330451369285583,0,0
вымереть,1.0,0.441869854927063,0,0
вынудить,1.0,0.5355181097984314,0,0
вынуждать,1.0,0.33337897062301636,0,1
выпустить,0.16666666666666666,0.48564600944519043,1,0
выручить,1.0,0.5898553729057312,1,1
выслать,0.16666666666666666,0.4118978679180145,0,1
выследить,0.16666666666666666,0.5319548845291138,0,0
выстрелить,1.0,0.4682122766971588,0,0
вытеснить,0.16666666666666666,0.48973548412323,0,0
вытеснять,0.5,0.4493294656276703,0,0
гордиться,1.0,0.7144291400909424,1,1
грабить,1.0,0.4688533544540405,0,0
грозить,0.5,0.5487613677978516,0,0
грозиться,0.5,0.618183434009552,0,0
громить,0.5,0.5914843678474426,0,0
давить,0.16666666666666666,0.6846551299095154,0,0
дарить,0.5,0.6046727299690247,1,1
депортировать,1.0,0.3559378385543823,0,1
дестабилизировать,1.0,0.257985919713974,0,1
деформировать,0.16666666666666666,0.3579256534576416,0,1
дисквалифицировать,0.5,0.3290870785713196,0,1
дискредитировать,1.0,0.46739116311073303,0,1
добить,0.5,0.6231049299240112,0,0
добиться,0.5,0.6176501512527466,1,0
доверять,1.0,0.606583297252655,1,1
договариваться,0.16666666666666666,0.4106525182723999,1,1
договориться,0.16666666666666666,0.35965844988822937,1,0
доминировать,0.16666666666666666,0.4280143678188324,0,1
донести,0.5,0.40177610516548157,0,0
допустить,0.16666666666666666,0.5209987163543701,0,1
дорожать,0.16666666666666666,0.441414475440979,0,1
достигать,0.16666666666666666,0.3781925439834595,1,1
достигнуть,0.5,0.2593688368797302,1,1
драться,1.0,0.6999229788780212,0,0
дружить,0.5,0.6278285980224609,1,1
душить,1.0,0.6716334223747253,0,0
жалеть,0.5,0.7136680483818054,1,0
жаловаться,1.0,0.71144038438797,0,0
желать,0.16666666666666666,0.4675292372703552,1,1
забивать,0.5,0.5942403674125671,0,0
забить,0.16666666666666666,0.6066955924034119,0,0
заблокировать,0.16666666666666666,0.31760650873184204,0,1
заболеть,1.0,0.382488876581192,0,0
забрасывать,0.16666666666666666,0.44663336873054504,0,0
забросить,0.16666666666666666,0.45434314012527466,0,0
завладеть,0.5,0.4985004663467407,0,0
завоевать,1.0,0.4702518880367279,0,1
завоёвывать,0.5,0.5586551427841187,0,1
загнать,0.5,0.5992546677589417,0,0
загореться,0.16666666666666666,0.4193669259548187,0,0
загрызть,0.5,0.5889959335327148,0,0
загрязнить,0.5,0.45131656527519226,0,0
загрязнять,0.5,0.39925074577331543,0,0
задавить,1.0,0.6100067496299744,0,0
задержать,1.0,0.4389004707336426,0,0
задерживать,0.5,0.39913737773895264,0,0
задеть,0.16666666666666666,0.5833390355110168,0,0
задохнуться,0.5,0.47274935245513916,0,0
заинтересоваться,0.16666666666666666,0.489140123128891,1,1
заминировать,1.0,0.3533460795879364,0,1
заподозрить,0.5,0.5585599541664124,0,0
запретить,1.0,0.5144727826118469,0,1
запрещать,0.16666666666666666,0.42385128140449524,0,1
запугать,1.0,0.6822693943977356,0,0
запугивать,1.0,0.6772011518478394,0,0
зарезать,1.0,0.6293834447860718,0,0
зарубить,0.5,0.5926604866981506,0,0
заслуживать,1.0,0.6330921649932861,1,1
заслужить,1.0,0.6070041060447693,1,1
заставить,1.0,0.4639317989349365,0,0
заставлять,0.5,0.46198582649230957,0,0
застрелить,0.5,0.5565006732940674,0,0
заступиться,0.5,0.6229575276374817,1,0
затребовать,0.5,0.49110203981399536,0,1
захватить,1.0,0.4368673264980316,0,0
захватывать,0.5,0.4180353879928589,0,0
захотеть,0.16666666666666666,0.22398343682289124,1,0
защитить,1.0,0.5572633743286133,1,0
защищать,1.0,0.5527132749557495,1,1
звереть,1.0,0.6304541826248169,0,0
злоупотреблять,1.0,0.6067465543746948,0,1
игнорировать,0.16666666666666666,0.5473814606666565,0,1
избавить,0.16666666666666666,0.5812811851501465,1,0
избивать,1.0,0.6783169507980347,0,0
избить,1.0,0.6659885048866272,0,0
извинить,0.5,0.5459626913070679,1,0
изгнать,1.0,0.5872819423675537,0,0
издеваться,1.0,0.7968541979789734,0,0
изнасиловать,1.0,0.6060032248497009,0,0
изобличить,0.5,0.46086159348487854,0,0
израсходовать,0.16666666666666666,0.49179673194885254,0,1
изуродовать,1.0,0.5739506483078003,0,0
инкриминировать,0.16666666666666666,0.38979291915893555,0,1
интересоваться,0.16666666666666666,0.5157749056816101,1,1
искоренить,0.16666666666666666,0.4481106102466583,0,1
испортить,0.5,0.6154553294181824,0,0
испортиться,0.5,0.5788210034370422,0,0
испугать,0.5,0.698432445526123,0,0
испугаться,0.5,0.6708065271377563,0,0
исчерпать,0.5,0.41796714067459106,0,1
казнить,1.0,0.5224953293800354,0,0
конфликтовать,1.0,0.47985970973968506,0,1
красть,1.0,0.37174221873283386,0,0
критиковать,0.5,0.6143947839736938,0,1
лгать,1.0,0.731846034526825,0,0
лидировать,0.5,0.471388041973114,1,1
ликвидировать,0.5,0.34061306715011597,0,1
лишаться,0.5,0.5832566618919373,0,0
лишиться,1.0,0.5806465744972229,0,0
лоббировать,0.5,0.4632767140865326,1,1
ловить,0.16666666666666666,0.567069411277771,0,0
ломать,1.0,0.6388077735900879,0,0
любить,1.0,0.7377145290374756,1,1
мешать,0.5,0.571968674659729,0,1
модернизировать,0.5,0.2722511887550354,1,1
молиться,0.5,0.5433372259140015,1,0
мочить,0.16666666666666666,0.6343238353729248,0,0
мстить,1.0,0.8304522037506104,0,0
наброситься,1.0,0.6260111927986145,0,0
навредить,1.0,0.6529245376586914,0,0
навязать,0.5,0.5756947994232178,0,0
навязывать,1.0,0.6076735258102417,0,1
надеяться,0.16666666666666666,0.3975695073604584,1,1
надоесть,0.5,0.36451607942581177,0,0
надругаться,1.0,0.8031867742538452,0,0
наехать,0.16666666666666666,0.5401901006698608,0,0
наказать,1.0,0.600308358669281,0,0
нападать,1.0,0.583629310131073,0,0
напасть,1.0,0.3573453426361084,0,0
напугать,1.0,0.704933226108551,0,0
нарушать,0.5,0.47245168685913086,0,0
нарушить,1.0,0.4826798141002655,0,0
насиловать,1.0,0.6532711386680603,0,0
наслаждаться,0.5,0.5067375898361206,1,1
недооценивать,0.16666666666666666,0.6201542019844055,0,1
нейтрализовать,1.0,0.40598443150520325,0,1
ненавидеть,1.0,0.8100261688232422,0,0
нервничать,0.5,0.6521634459495544,0,0
нравиться,0.5,0.7150937914848328,1,1
нуждаться,0.5,0.5492604374885559,0,1
обвалиться,0.5,0.4406496584415436,0,0
обвинить,0.5,0.5213213562965393,0,0
обвинять,1.0,0.5151937007904053,0,0
обворовать,0.5,0.5329740047454834,0,0
обезвредить,1.0,0.4888758659362793,0,0
обезглавить,1.0,0.4459637403488159,0,0
обезопасить,1.0,0.4528164267539978,1,1
обеспокоить,0.5,0.47935840487480164,0,1
обжаловать,0.16666666666666666,0.5247592329978943,0,1
обидеть,1.0,0.7745785713195801,0,0
обидеться,0.5,0.6821897625923157,0,0
обмануть,1.0,0.6371925473213196,0,0
обманывать,1.0,0.6388660669326782,0,0
обогатить,0.16666666666666666,0.4835045635700226,1,1
обогащать,0.16666666666666666,0.5301174521446228,1,1
обозвать,0.5,0.6210452318191528,0,0
обокрасть,1.0,0.323720246553421,0,0
обрадоваться,0.5,0.5852208137512207,1,1
обрушиться,0.5,0.4791285991668701,0,0
обстреливать,1.0,0.3930446207523346,0,0
обстрелять,1.0,0.3435717523097992,0,0
объединиться,0.16666666666666666,0.30918747186660767,1,1
обыграть,0.16666666666666666,0.4807208180427551,1,1
обыгрывать,0.16666666666666666,0.5450466275215149,1,1
обязать,0.5,0.4595314562320709,0,1
обязывать,0.16666666666666666,0.5781905651092529,0,1
оговорить,0.16666666666666666,0.515491247177124,0,1
огорчить,0.5,0.6814272403717041,0,0
ограбить,1.0,0.45178964734077454,0,0
одобрить,0.5,0.7701383233070374,1,1
одобрять,1.0,0.8067793250083923,1,1
одолеть,0.5,0.5305013060569763,0,0
озаботить,0.5,0.6431311964988708,0,1
оккупировать,1.0,0.3786691129207611,0,1
окружить,0.16666666666666666,0.36621931195259094,0,0
опасаться,0.5,0.5892162919044495,0,0
опередить,0.16666666666666666,0.4477357566356659,0,0
опорочить,0.5,0.5568904280662537,0,0
оправдать,0.5,0.5684690475463867,1,1
оправдывать,0.5,0.6195200681686401,1,1
оптимизировать,0.16666666666666666,0.46265527606010437,1,1
осадить,0.5,0.5645066499710083,0,0
освистать,0.5,0.45548683404922485,0,0
освободить,1.0,0.4341413676738739,1,0
освобождать,1.0,0.41537466645240784,1,1
осквернить,1.0,0.5448815822601318,0,0
оскорбить,1.0,0.6887103915214539,0,0
оскорблять,1.0,0.6432626843452454,0,0
ослабить,0.5,0.5089042782783508,0,0
ослаблять,0.16666666666666666,0.42660725116729736,0,1
ослабнуть,0.16666666666666666,0.4370932877063751,0,0
осложнить,0.5,0.3887854218482971,0,1
осложнять,0.5,0.43676984310150146,0,1
основать,0.16666666666666666,0.42831718921661377,1,1
осудить,1.0,0.5921342968940735,0,1
осуждать,1.0,0.6294868588447571,0,1
отбить,0.5,0.611355721950531,0,0
отбиться,0.5,0.6072145104408264,0,0
отвергать,0.5,0.582526445388794,0,1
отвергнуть,0.5,0.5142935514450073,0,0
отвоевать,1.0,0.5173014402389526,1,0
отказать,0.5,0.5495125651359558,0,1
отказаться,0.5,0.5371431112289429,0,1
отказывать,0.5,0.6416776180267334,0,1
отклонить,0.16666666666666666,0.4060553312301636,0,1
отклонять,0.16666666666666666,0.4796677529811859,0,1
отогнать,0.5,0.5921011567115784,0,0
отомстить,1.0,0.7072679400444031,0,0
отпугивать,0.5,0.650606632232666,0,0
отпугнуть,0.5,0.5881970524787903,0,0
отравить,1.0,0.6174883246421814,0,0
отравиться,1.0,0.6225482225418091,0,0
отравлять,1.0,0.5406014919281006,0,0
отрицать,0.5,0.5256310105323792,0,1
отстаивать,1.0,0.5560576915740967,1,1
отстоять,0.5,0.3428223133087158,1,1
отступить,0.5,0.49075207114219666,0,0
оттеснить,0.5,0.5084671974182129,0,0
охранять,0.5,0.40935570001602173,1,1
падать,0.16666666666666666,0.5372480750083923,0,0
пасть,0.5,0.18923713266849518,0,0
перебить,0.16666666666666666,0.6481177806854248,0,0
перерезать,0.5,0.4820522367954254,0,0
переть,0.5,0.5708543658256531,0,0
перехватить,0.16666666666666666,0.4371498227119446,0,0
плакать,1.0,0.6615573167800903,0,0
плюнуть,0.16666666666666666,0.5688783526420593,0,0
победить,0.5,0.4912680387496948,1,1
побеждать,1.0,0.4894232451915741,1,1
побить,1.0,0.6735449433326721,0,0
поблагодарить,1.0,0.5036342740058899,1,1
побороть,0.5,0.4442945122718811,1,0
побороться,0.5,0.5087012052536011,1,0
побояться,0.5,0.5726851224899292,0,0
побудить,0.16666666666666666,0.5311418175697327,1,0
побуждать,0.16666666666666666,0.5908807516098022,1,1
повезти,0.16666666666666666,0.2165050208568573,1,0
поверить,0.16666666666666666,0.5950837731361389,1,0
повздорить,0.5,0.6891674399375916,0,0
повредить,1.0,0.5050862431526184,0,0
погибнуть,1.0,0.4902482032775879,0,0
погубить,1.0,0.653705894947052,0,0
подарить,0.5,0.5960442423820496,1,1
подбить,0.16666666666666666,0.560584306716919,0,0
подвести,0.16666666666666666,0.43344515562057495,0,1
подводить,1.0,0.5438770651817322,0,1
поддержать,0.5,0.6363263726234436,1,1
поддерживать,1.0,0.6605709195137024,1,1
подкупить,0.5,0.5627281665802002,0,1
подозревать,0.5,0.5729292035102844,0,0
подорвать,1.0,0.5813266634941101,0,0
подорожать,1.0,0.4358624219894409,0,0
подружиться,1.0,0.5182196497917175,1,1
подрывать,1.0,0.550094723701477,0,0
подставить,0.5,0.523340106010437,0,0
пожалеть,0.5,0.5905357003211975,1,0
пожаловаться,0.5,0.5922400951385498,0,1
пожелать,0.16666666666666666,0.5432875156402588,1,1
поздравить,1.0,0.4444282352924347,1,1
поздравлять,0.5,0.4914751946926117,1,1
поймать,0.5,0.5760705471038818,0,0
покорить,0.16666666666666666,0.557502806186676,1,1
полюбить,0.5,0.6519300937652588,1,1
помешать,0.16666666666666666,0.6399571895599365,0,0
помиловать,1.0,0.6142550706863403,1,1
помогать,1.0,0.5430275797843933,1,1
помочь,1.0,0.09471918642520905,1,1
понадеяться,0.16666666666666666,0.4015973210334778,1,1
понравиться,0.5,0.6639633178710938,1,1
пообещать,0.16666666666666666,0.37986770272254944,1,1
поощрить,0.5,0.7790960073471069,1,1
поощрять,1.0,0.8197742700576782,1,1
поправиться,0.16666666666666666,0.5165138840675354,1,0
попросить,0.16666666666666666,0.389387309551239,0,1
порадовать,1.0,0.6971070766448975,1,1
порадоваться,0.16666666666666666,0.6307907700538635,1,1
поражать,0.5,0.5560907125473022,1,1
поразить,1.0,0.5756980180740356,1,0
порочить,1.0,0.6070906519889832,0,1
портить,0.5,0.6078571081161499,0,0
поругаться,0.5,0.7729236483573914,0,0
посетовать,0.16666666666666666,0.591545581817627,0,1
поспособствовать,0.16666666666666666,0.49846842885017395,1,1
поссориться,1.0,0.677157998085022,0,0
постараться,0.16666666666666666,0.4214843213558197,1,1
пострадать,1.0,0.49393829703330994,0,1
потерпеть,0.16666666666666666,0.45031893253326416,0,0
потерять,0.5,0.524725615978241,0,0
потеснить,0.16666666666666666,0.5778157711029053,0,0
потребовать,1.0,0.5065175294876099,0,1
потрясать,0.16666666666666666,0.5796637535095215,0,0
потрясти,0.16666666666666666,0.4497085213661194,0,0
похвалить,1.0,0.7626588344573975,1,1
похвастаться,0.5,0.610955536365509,1,1
похитить,1.0,0.5848652124404907,0,0
похищать,1.0,0.5211865305900574,0,0
похоронить,0.5,0.5389541983604431,0,0
пошутить,0.16666666666666666,0.6390953063964844,1,0
превзойти,1.0,0.43473970890045166,1,1
превосходить,0.16666666666666666,0.47823566198349,1,1
предостерегать,0.5,0.5758382081985474,1,1
предостеречь,0.5,0.3392244577407837,1,1
предотвратить,1.0,0.3647804260253906,1,1
предотвращать,0.5,0.3802304267883301,1,1
предпочесть,0.16666666666666666,0.2662425935268402,0,1
предпочитать,0.16666666666666666,0.5468510985374451,0,1
предупредить,0.16666666666666666,0.44891220331192017,1,1
предупреждать,0.16666666666666666,0.4430117905139923,1,1
прекратить,0.16666666666666666,0.5643433928489685,0,0
пренебрегать,0.5,0.6448653340339661,0,1
пренебречь,0.5,0.41519516706466675,0,1
препятствовать,0.16666666666666666,0.47298282384872437,0,1
прервать,0.16666666666666666,0.46009722352027893,0,0
прерывать,0.16666666666666666,0.4797651469707489,0,1
пресекать,0.5,0.5260473489761353,0,1
пресечь,0.5,0.2893791198730469,0,1
преследовать,0.5,0.44023606181144714,0,0
пресмыкаться,1.0,0.5411728620529175,0,0
приветствовать,0.16666666666666666,0.5796332359313965,1,1
привлекать,0.16666666666666666,0.5562089681625366,1,1
приговаривать,0.5,0.5604427456855774,0,1
приговорить,1.0,0.4364062249660492,0,1
пригрозить,0.5,0.4978044629096985,0,0
приказать,1.0,0.36796391010284424,0,0
приказывать,0.16666666666666666,0.35641399025917053,0,1
принудить,1.0,0.484300434589386,0,1
принуждать,1.0,0.6159276962280273,0,1
принять,0.16666666666666666,0.5782259106636047,1,1
присваивать,0.16666666666666666,0.5425623059272766,0,1
присвоить,0.16666666666666666,0.4499093294143677,0,1
присудить,0.16666666666666666,0.5971653461456299,1,1
присягнуть,0.16666666666666666,0.39957550168037415,1,0
провалиться,0.5,0.45309314131736755,0,0
провоцировать,0.5,0.4822245240211487,0,1
прогнать,0.5,0.6710012555122375,0,0
прогрессировать,1.0,0.43548470735549927,0,1
проигнорировать,0.16666666666666666,0.47263261675834656,0,1
проиграть,0.5,0.4513220191001892,0,0
проигрывать,0.5,0.5095297694206238,0,0
проникать,0.16666666666666666,0.4548527002334595,0,0
проникнуть,0.16666666666666666,0.48048141598701477,0,0
пропагандировать,0.16666666666666666,0.48176848888397217,0,1
прорвать,0.16666666666666666,0.4896685481071472,0,0
прострелить,0.5,0.4566706418991089,0,0
протестовать,0.5,0.5171604156494141,0,1
противодействовать,0.5,0.37427592277526855,1,1
противоречить,0.5,0.42854371666908264,0,1
противостоять,0.5,0.3671048581600189,1,1
профинансировать,0.16666666666666666,0.33428362011909485,1,1
пугать,1.0,0.725642204284668,0,0
пытать,1.0,0.41598451137542725,0,0
радовать,0.5,0.686684787273407,1,1
радоваться,0.5,0.6348674893379211,1,1
разбивать,0.5,0.5758770108222961,0,0
разбираться,0.16666666666666666,0.49829643964767456,1,0
разбить,0.5,0.5690234899520874,0,0
разбомбить,1.0,0.47808951139450073,0,0
развалиться,0.5,0.4043582081794739,0,0
разгневать,1.0,0.7394855618476868,0,0
разгонять,0.5,0.5582867860794067,0,0
разграбить,1.0,0.32487356662750244,0,0
разгромить,0.5,0.3469245433807373,0,0
раздавить,0.5,0.5944825410842896,0,0
раздражать,1.0,0.7096238136291504,0,0
разжигать,0.5,0.537402331829071,0,0
разминировать,0.5,0.35367390513420105,1,1
разнести,0.16666666666666666,0.4263738691806793,0,0
разоблачить,1.0,0.47060298919677734,0,0
разогнать,0.5,0.579842746257782,0,0
разозлиться,0.5,0.7721957564353943,0,0
разорить,1.0,0.5817277431488037,0,0
разоружить,0.5,0.41596102714538574,0,0
разочаровать,1.0,0.5945694446563721,0,0
разочароваться,0.5,0.5630371570587158,0,0
разрешать,0.16666666666666666,0.38325363397598267,1,1
разрешаться,0.16666666666666666,0.3639030158519745,1,1
разрешить,0.16666666666666666,0.4279499351978302,1,1
разрушать,1.0,0.45469170808792114,0,0
разрушить,1.0,0.41436824202537537,0,0
разыскивать,0.16666666666666666,0.47254443168640137,0,0
раскаиваться,1.0,0.692639946937561,0,0
раскаяться,1.0,0.5600260496139526,1,0
расколоть,0.5,0.30744263529777527,0,0
расколоться,0.16666666666666666,0.40333831310272217,0,0
раскритиковать,1.0,0.5755050182342529,0,1
расплакаться,0.5,0.6299070119857788,0,0
расправиться,1.0,0.5992459654808044,0,0
расстреливать,1.0,0.4728681445121765,0,0
расстрелять,1.0,0.4516274034976959,0,0
расстроить,1.0,0.5576461553573608,0,0
расстроиться,0.5,0.5465604066848755,0,0
ратифицировать,0.16666666666666666,0.3721017837524414,1,1
рекомендовать,0.16666666666666666,0.45403528213500977,1,1
решиться,0.16666666666666666,0.4693238139152527,1,0
рискнуть,0.16666666666666666,0.43891441822052,1,0
рисковать,0.5,0.5309880971908569,1,1
ругаться,0.5,0.7850308418273926,0,0
свалиться,0.5,0.5218425989151001,0,0
свергнуть,1.0,0.4626833498477936,0,0
сетовать,0.16666666666666666,0.6340461373329163,0,1
симпатизировать,0.5,0.6141969561576843,1,1
скончаться,1.0,0.4014264941215515,0,0
скорбеть,0.5,0.5304592251777649,0,0
скрывать,0.5,0.550153911113739,0,0
скрыть,0.16666666666666666,0.442177951335907,0,0
сломать,0.5,0.5949878692626953,0,0
сломаться,0.5,0.5540353059768677,0,0
смягчить,0.5,0.5811372995376587,1,0
совершенствовать,0.16666666666666666,0.45222902297973633,1,1
советовать,0.16666666666666666,0.5695786476135254,1,1
согласиться,0.5,0.6188275218009949,1,1
соглашаться,0.16666666666666666,0.5950736403465271,1,1
содействовать,0.5,0.4667663276195526,1,1
сожалеть,1.0,0.5586954355239868,0,0
сомневаться,0.16666666666666666,0.5620465278625488,0,0
сопротивляться,1.0,0.5448335409164429,0,0
сорвать,0.5,0.5896722674369812,0,0
сотрудничать,0.16666666666666666,0.4381658136844635,1,1
сочувствовать,0.5,0.6373204588890076,1,1
спасать,1.0,0.5970581769943237,1,0
спасаться,1.0,0.5425873398780823,1,0
спасти,0.5,0.3993290364742279,1,0
спастись,1.0,0.32948264479637146,1,0
сплотить,0.5,0.516191303730011,1,1
спонсировать,0.16666666666666666,0.5350301861763,1,1
способствовать,0.16666666666666666,0.47904300689697266,1,1
спровоцировать,0.5,0.4496138393878937,0,1
спрятать,0.16666666666666666,0.5106927752494812,0,0
сработать,0.16666666666666666,0.4385501444339752,0,1
сражаться,0.5,0.5652940273284912,0,0
сразиться,0.5,0.5719862580299377,0,0
срывать,0.16666666666666666,0.6008436679840088,0,0
ссориться,0.5,0.7309731245040894,0,0
страдать,1.0,0.6084510684013367,0,0
стрелять,1.0,0.47067099809646606,0,0
субсидировать,0.16666666666666666,0.3801432251930237,1,1
судить,0.5,0.5318565368652344,0,1
схватить,0.5,0.5390186905860901,0,0
творить,0.16666666666666666,0.5511025190353394,1,1
терпеть,1.0,0.6003215312957764,0,0
терроризировать,1.0,0.35174939036369324,0,1
терять,0.16666666666666666,0.532766580581665,0,0
толкать,0.16666666666666666,0.6455981731414795,0,0
толкнуть,1.0,0.5455420017242432,0,0
травить,1.0,0.6265547871589661,0,0
травмировать,1.0,0.4553016424179077,0,0
требовать,1.0,0.5223475098609924,0,1
убивать,1.0,0.7432044148445129,0,0
убить,1.0,0.7942560315132141,0,0
уважать,1.0,0.7820518612861633,1,1
увлечься,0.16666666666666666,0.4673870801925659,1,1
угнать,1.0,0.5720701217651367,0,0
угодить,0.16666666666666666,0.6394369006156921,1,0
угрожать,1.0,0.6149539351463318,1,0
удаваться,1.0,0.2215576022863388,1,1
ударить,1.0,0.5847148299217224,0,0
удариться,0.5,0.5169497132301331,0,0
удаться,0.16666666666666666,0.5592276453971863,1,0
ужесточать,1.0,0.4899216592311859,0,1
ужесточить,1.0,0.49281519651412964,0,0
уклониться,0.5,0.4885217547416687,0,0
уклоняться,0.5,0.5122935771942139,0,0
украсить,0.5,0.37725967168807983,1,1
украсть,1.0,0.29684919118881226,0,1
украшать,0.16666666666666666,0.5011199712753296,1,1
укрепить,0.5,0.4438403248786926,1,1
укреплять,0.16666666666666666,0.4646877646446228,1,1
укрепляться,0.16666666666666666,0.4573763906955719,1,1
укрывать,0.5,0.47596463561058044,0,0
уличить,1.0,0.6074532270431519,0,0
улучшать,0.5,0.5122337341308594,1,1
улучшаться,0.5,0.46649855375289917,1,1
улучшить,0.5,0.48654523491859436,1,1
улучшиться,0.5,0.4220501482486725,1,1
умереть,1.0,0.5627517700195312,0,0
умирать,1.0,0.5629541873931885,0,0
унижать,1.0,0.6976361870765686,0,0
унизить,1.0,0.6714828014373779,0,0
уничтожать,1.0,0.47192659974098206,0,0
уничтожить,1.0,0.4882284998893738,0,0
упасть,0.5,0.38407015800476074,0,0
упрекать,0.5,0.7320811152458191,0,0
упрекнуть,1.0,0.7015276551246643,0,0
упустить,0.16666666666666666,0.5373261570930481,0,0
урезать,0.5,0.5622453689575195,0,0
усиливать,0.16666666666666666,0.42405733466148376,1,1
усовершенствовать,0.16666666666666666,0.41682904958724976,1,1
устроить,0.16666666666666666,0.4457724690437317,1,1
усугубить,0.5,0.5956717133522034,0,0
усугублять,0.5,0.4646204710006714,0,1
утерять,0.16666666666666666,0.4360020160675049,0,0
утратить,0.5,0.4248936176300049,0,0
ухудшаться,1.0,0.4332205057144165,0,0
ухудшить,1.0,0.4365074038505554,0,0
ухудшиться,1.0,0.419270783662796,0,0
ущемлять,1.0,0.5424913763999939,0,1
финансировать,0.16666666666666666,0.34018823504447937,1,1
форсировать,0.16666666666666666,0.3529094457626343,1,1
хвастаться,0.16666666666666666,0.604047954082489,1,1
хватать,0.16666666666666666,0.5510517358779907,1,0
хоронить,0.5,0.475580096244812,0,0
хорошеть,0.5,0.44417789578437805,1,1
ценить,0.5,0.7170145511627197,1,1
чаять,0.16666666666666666,0.4802917242050171,1,1
шантажировать,1.0,0.46874698996543884,0,1
шокировать,0.5,0.5603495836257935,0,1
штурмовать,1.0,0.37809887528419495,0,0
эксплуатировать,0.5,0.4403647184371948,0,1
экстрадировать,0.5,0.4522615373134613,0,1
