verb,polar_or_not,polarity_summ,падеж второго аргумента в нотации pymorphy2,a0-a1_pol,fasttext_polarity,manual_polarity,cosine_distance,cosine_distance2,fasttext_polarity2,cosine_distance3,fasttext_polarity3
винить,4,0,accs,neg,0,0,-0.29009953141212463,-0.1039232686161995,0,-0.3706626892089844,0
влюбляться,3,3,accs,pos,0,1,-0.06254849582910538,-0.06939015537500381,0,-0.25206953287124634,0
воевать,2,0,gent,neg,0,0,-0.1264055371284485,-0.16304515302181244,0,-0.3420282304286957,0
возлюбить,2,3,accs,pos,0,1,-0.009606746956706047,-0.0583181232213974,0,-0.21994172036647797,0
ворваться,2,0,acc2,neg,0,0,-0.3957975208759308,-0.22325310111045837,0,-0.42993831634521484,0
воровать,3,0,accs,pos,0,0,-0.08843769133090973,-0.13381509482860565,0,-0.287272185087204,0
воспрепятствовать,3,0,datv,neg,1,0,0.22193820774555206,0.14530518651008606,1,0.024075528606772423,0
впечатлить,4,3,accs,pos,1,1,0.04805401340126991,0.04695909097790718,1,-0.058798909187316895,0
враждовать,3,0,gent,neg,0,0,-0.0655488595366478,-0.13962022960186005,0,-0.3043775260448456,0
врать,4,0,datv,neg,0,0,-0.2743133306503296,-0.13884034752845764,0,-0.42897525429725647,0
вредить,2,0,datv,neg,0,0,-0.08349736034870148,0.057929374277591705,1,-0.16850125789642334,0
врезаться,3,0,accs,pos,0,0,-0.32396039366722107,-0.18927420675754547,0,-0.43445509672164917,0
встревожить,3,0,accs,neg,0,0,-0.24657507240772247,-0.10129909217357635,0,-0.3642215430736542,0
вторгаться,4,0,accs,neg,0,0,-0.18711087107658386,-0.0345613956451416,0,-0.30949899554252625,0
выгонять,3,0,accs,neg,0,0,-0.28559672832489014,-0.19862401485443115,0,-0.3815789222717285,0
вынуждать,5,0,accs,neg,0,0,0.0046128928661346436,-0.03221016749739647,0,-0.1580212116241455,0
гордиться,5,3,ablt,pos,1,1,0.09528645128011703,0.08043830096721649,1,-0.06290720403194427,0
грабить,5,0,accs,pos,0,0,-0.2961982488632202,-0.22005361318588257,0,-0.4118184447288513,0
грозить,5,0,datv,neg,0,0,-0.337083101272583,-0.1417754739522934,0,-0.35831642150878906,0
грозиться,2,0,ablt,neg,0,0,-0.46107521653175354,-0.22366927564144135,0,-0.4587171971797943,0
громить,5,0,accs,neg,0,0,-0.30382511019706726,-0.20146937668323517,0,-0.39042603969573975,0
давить,4,0,accs,neg,0,0,-0.2905691862106323,-0.22146238386631012,0,-0.3466380536556244,0
дарить,3,3,accs,pos,1,1,0.0825444757938385,0.04790283367037773,1,0.011098206043243408,0
депортировать,5,0,accs,neg,0,0,0.017851848155260086,-0.08869189769029617,0,-0.10243498533964157,0
дестабилизировать,4,0,accs,neg,1,0,0.09923512488603592,0.035016775131225586,1,-0.036281146109104156,0
деформировать,4,0,accs,neg,1,0,0.10574626177549362,-0.020435171201825142,0,0.01221732422709465,0
дисквалифицировать,4,0,accs,neg,1,0,0.17063236236572266,-0.008156420662999153,0,0.12080426514148712,1
дискредитировать,3,0,accs,neg,1,0,0.1596268266439438,0.03731198608875275,1,0.07463254034519196,1
доверять,2,3,datv,pos,1,1,0.05753348022699356,0.09187203645706177,1,-0.024626072496175766,0
договариваться,2,3,ablt,pos,0,1,-0.01788008026778698,0.06699246913194656,1,-0.056814100593328476,0
драться,5,0,ablt,neg,0,0,-0.38244813680648804,-0.2822560966014862,0,-0.4798521101474762,0
дружить,4,3,ablt,pos,0,1,0.014047629199922085,-0.042412806302309036,0,-0.2243456393480301,0
душить,2,0,accs,neg,0,0,-0.32185423374176025,-0.20127464830875397,0,-0.4457581639289856,0
жаловаться,5,0,accs,pos,0,0,-0.18561908602714539,-0.1077735647559166,0,-0.29703646898269653,0
желать,3,3,accs,pos,1,1,0.07053197175264359,0.09296027570962906,1,-0.007969707250595093,0
заблокировать,3,0,accs,neg,0,0,-0.04397187381982803,-0.03449379280209541,0,-0.13579991459846497,0
заболеть,5,0,ablt,null,0,0,-0.18685607612133026,-0.11891313642263412,0,-0.2959870994091034,0
загнать,3,0,accs,neg,0,0,-0.3147341310977936,-0.2879069149494171,0,-0.41381144523620605,0
загрязнять,4,0,accs,neg,0,0,-0.12710921466350555,-0.0796109288930893,0,-0.17141775786876678,0
задерживать,2,0,accs,neg,0,0,-0.134179025888443,-0.05444413796067238,0,-0.21249565482139587,0
задеть,2,0,accs,neg,0,0,-0.2542378902435303,-0.13336558640003204,0,-0.36185917258262634,0
заминировать,4,0,accs,neg,0,0,0.019288744777441025,0.006567259784787893,0,-0.10129159688949585,0
запрещать,3,0,accs,neg,1,0,0.09068211913108826,0.10610135644674301,1,-0.009378556162118912,0
запугивать,4,0,accs,neg,0,0,-0.29280489683151245,-0.17828749120235443,0,-0.38194796442985535,0
зарезать,3,0,accs,neg,0,0,-0.3899105489253998,-0.21942010521888733,0,-0.39338600635528564,0
заставлять,5,0,accs,neg,0,0,-0.10772904753684998,-0.02088557556271553,0,-0.21133092045783997,0
застрелить,4,0,accs,neg,0,0,-0.41318345069885254,-0.336734414100647,0,-0.4330367147922516,0
затребовать,5,0,accs,pos,1,0,0.12457257509231567,0.06777729839086533,1,0.08403187990188599,1
захотеть,2,3,accs,pos,0,1,-0.09328672289848328,-0.027464566752314568,0,-0.1649399697780609,0
защищать,2,3,accs,pos,0,1,-0.0707189217209816,-0.025781085714697838,0,-0.06958990544080734,0
звереть,5,0,gent,neg,0,0,-0.4750875234603882,-0.2493874579668045,0,-0.5147325992584229,0
злоупотреблять,3,0,ablt,pos,1,0,0.09864750504493713,-0.02385997399687767,0,-0.06403691321611404,0
игнорировать,2,0,accs,neg,1,0,0.031033584848046303,0.07616329193115234,1,-0.07709723711013794,0
избивать,3,0,accs,neg,0,0,-0.3618503212928772,-0.320841908454895,0,-0.4188958704471588,0
издеваться,5,0,ablt,neg,0,0,-0.3603731393814087,-0.21903252601623535,0,-0.5021998882293701,0
изнасиловать,5,0,accs,neg,0,0,-0.2601204216480255,-0.19489961862564087,0,-0.3447200655937195,0
израсходовать,5,0,accs,pos,1,0,0.08315017819404602,-0.05150628834962845,0,-0.009978932328522205,0
изуродовать,5,0,accs,neg,0,0,-0.22022846341133118,-0.2731454074382782,0,-0.2718590497970581,0
инкриминировать,4,0,datv,neg,1,0,0.1111968606710434,0.010251822881400585,0,0.03254224732518196,1
интересоваться,4,3,accs,pos,1,1,0.09409801661968231,0.10097090899944305,1,0.0631788969039917,1
испортить,5,0,accs,neg,0,0,-0.1069004014134407,-0.09914251416921616,0,-0.21472692489624023,0
испортиться,4,0,0,null,0,0,-0.15177497267723083,-0.112259142100811,0,-0.24347543716430664,0
испугать,3,0,accs,neg,0,0,-0.4088186025619507,-0.14454637467861176,0,-0.4254072606563568,0
испугаться,2,0,gent,neg,0,0,-0.4410322904586792,-0.17642587423324585,0,-0.47218057513237,0
казнить,3,0,accs,neg,0,0,-0.2002822905778885,-0.13736066222190857,0,-0.3852739930152893,0
конфликтовать,4,0,ablt,neg,1,0,0.08443757891654968,-0.025656821206212044,0,-0.07030551135540009,0
красть,3,0,gent,pos,0,0,-0.16578391194343567,-0.18246415257453918,0,-0.35704657435417175,0
критиковать,5,0,accs,neg,1,0,0.14532087743282318,0.09199140220880508,1,-0.034248027950525284,0
лгать,5,0,datv,neg,0,0,-0.2268502563238144,-0.1509850025177002,0,-0.362106591463089,0
лидировать,4,3,loct,pos,1,1,0.11468914151191711,0.006191480904817581,0,0.11132252961397171,1
лишаться,3,0,gent,pos,0,0,-0.17739355564117432,-0.060475364327430725,0,-0.2628912031650543,0
любить,2,3,accs,pos,1,1,0.10839179903268814,0.06584347039461136,1,-0.09170443564653397,0
мешать,4,0,datv,neg,0,0,-0.078509621322155,0.0494755357503891,1,-0.2260027676820755,0
модернизировать,3,3,accs,pos,1,1,0.1712181270122528,0.005034429486840963,0,0.1194298192858696,1
молиться,5,3,datv,pos,0,1,-0.1951986849308014,-0.12899601459503174,0,-0.29972854256629944,0
мочить,3,0,accs,neg,0,0,-0.2484765499830246,-0.19601872563362122,0,-0.4031789302825928,0
мстить,4,0,datv,neg,0,0,-0.3734290301799774,-0.28144571185112,0,-0.4452168047428131,0
наброситься,2,0,accs,neg,0,0,-0.326661080121994,-0.14003613591194153,0,-0.3885233402252197,0
навредить,4,0,datv,neg,0,0,-0.15561361610889435,-0.01787753403186798,0,-0.15261878073215485,0
навязать,5,0,accs,neg,0,0,-0.09257058054208755,0.013272330164909363,0,-0.2463987022638321,0
навязывать,5,0,accs,neg,1,0,0.036338310688734055,0.07077287882566452,1,-0.08617840707302094,0
надеяться,3,3,accs,pos,0,1,-0.005697224289178848,0.0518469400703907,1,-0.009650283493101597,0
нападать,3,0,accs,neg,0,0,-0.4127790629863739,-0.1900402456521988,0,-0.46682247519493103,0
напасть,3,0,accs,neg,0,0,-0.3070472776889801,-0.20545262098312378,0,-0.36912238597869873,0
напугать,4,0,accs,neg,0,0,-0.3859119117259979,-0.18817272782325745,0,-0.40101858973503113,0
нарушать,5,0,accs,neg,0,0,-0.09076084941625595,-0.004462953191250563,0,-0.17984993755817413,0
насиловать,2,0,accs,neg,0,0,-0.21944139897823334,-0.1573079228401184,0,-0.31949299573898315,0
наслаждаться,5,3,ablt,pos,1,1,0.06822826713323593,0.10966270416975021,1,-0.02305160090327263,0
ненавидеть,4,0,accs,neg,0,0,-0.3526241183280945,-0.30835822224617004,0,-0.4837955832481384,0
нервничать,3,0,0,pos,0,0,-0.33749836683273315,-0.20248298346996307,0,-0.41427281498908997,0
нравиться,5,3,datv,pos,1,1,0.07805845141410828,0.1252630650997162,1,-0.057390350848436356,0
обвалиться,5,0,0,null,0,0,-0.2613241970539093,-0.17602792382240295,0,-0.35424530506134033,0
обвинять,4,0,accs,neg,0,0,-0.11670760065317154,-0.0703645572066307,0,-0.18359459936618805,0
обезопасить,5,3,accs,pos,0,1,-0.057558950036764145,0.013801712542772293,0,-0.0041129933670163155,0
обеспокоить,5,0,accs,neg,0,0,-0.052995696663856506,-0.05420539155602455,0,-0.09961600601673126,0
обжаловать,2,0,accs,neg,1,0,0.08344389498233795,0.05258357524871826,1,-0.004737543407827616,0
обманывать,3,0,accs,neg,0,0,-0.136210635304451,-0.1128358393907547,0,-0.3096155524253845,0
обогащать,5,3,accs,pos,1,1,0.21703718602657318,0.13394321501255035,1,0.09249316900968552,1
обрадоваться,3,3,datv,pos,1,1,0.0766366645693779,0.026097508147358894,0,-0.10925073176622391,0
обстреливать,5,0,accs,neg,0,0,-0.24086633324623108,-0.2551158368587494,0,-0.3820536434650421,0
обязывать,2,0,accs,pos,1,0,0.23351739346981049,0.1221645399928093,1,0.1360185146331787,1
ограбить,5,0,accs,pos,0,0,-0.28449776768684387,-0.20549404621124268,0,-0.35333630442619324,0
одобрять,5,3,accs,pos,1,1,0.35871949791908264,0.48629242181777954,1,0.2896783649921417,1
оккупировать,5,0,accs,pos,1,0,0.05345890671014786,-0.06991219520568848,0,-0.1448482722043991,0
опасаться,5,0,gent,neg,0,0,-0.2608768939971924,-0.05528800189495087,0,-0.32247257232666016,0
оптимизировать,4,3,accs,pos,1,1,0.19590072333812714,0.19064666330814362,1,0.1458432525396347,1
освобождать,4,3,accs,pos,0,1,-0.0354590117931366,-0.03900996595621109,0,-0.16667771339416504,0
оскорблять,3,0,accs,neg,0,0,-0.17835159599781036,-0.1788676232099533,0,-0.3482109308242798,0
ослаблять,5,0,accs,neg,0,0,-0.04951893165707588,0.03162150830030441,1,-0.17782868444919586,0
ослабнуть,3,0,0,null,0,0,-0.23376387357711792,-0.06451547890901566,0,-0.36067450046539307,0
осложнять,5,0,accs,neg,1,0,0.03872839733958244,-0.0005522079300135374,0,-0.09178823232650757,0
осуждать,5,0,accs,neg,1,0,0.050389423966407776,0.06441521644592285,1,-0.058514002710580826,0
отвергать,2,0,accs,neg,0,0,0.0025728323962539434,0.09427561610937119,1,-0.11684449017047882,0
отказывать,4,0,datv,neg,1,0,0.13662514090538025,0.09618650376796722,1,-0.0081430459395051,0
отклонять,5,0,accs,neg,1,0,0.04282688349485397,0.14982259273529053,1,-0.06042329594492912,0
отпугивать,4,0,accs,neg,0,0,-0.21037998795509338,-0.06496905535459518,0,-0.24940557777881622,0
отравлять,4,0,accs,neg,0,0,-0.13197901844978333,-0.14047664403915405,0,-0.244968980550766,0
отрицать,4,0,accs,neg,0,0,-0.0061458102427423,0.032104428857564926,1,-0.20538374781608582,0
отстаивать,3,3,accs,pos,1,1,0.047284916043281555,0.07028096169233322,1,-0.0802849754691124,0
отстоять,4,3,accs,pos,0,1,-0.025150116533041,-0.055328674614429474,0,-0.1739889681339264,0
охранять,5,3,accs,pos,0,1,0.013472017832100391,-0.005988063756376505,0,-0.07870420813560486,0
падать,5,0,0,null,0,0,-0.33231255412101746,-0.11943485587835312,0,-0.387420654296875,0
пасть,2,0,0,null,0,0,-0.16611075401306152,-0.14109136164188385,0,-0.2905120551586151,0
переть,4,0,accs,pos,0,0,-0.2861686646938324,-0.2267838418483734,0,-0.34809553623199463,0
плакать,4,0,0,neg,0,0,-0.4135412275791168,-0.2671974301338196,0,-0.5067238211631775,0
плюнуть,2,0,accs,neg,0,0,-0.3506971597671509,-0.20189417898654938,0,-0.4517245590686798,0
поблагодарить,4,3,accs,pos,1,1,0.2420797199010849,0.19789151847362518,1,0.23149968683719635,1
побояться,5,0,gent,neg,0,0,-0.2717961072921753,-0.13218922913074493,0,-0.27333906292915344,0
побудить,5,3,accs,pos,0,1,-0.09292043745517731,0.02372664026916027,0,-0.16063734889030457,0
побуждать,3,3,accs,pos,1,1,0.11981480568647385,0.17161905765533447,1,0.032929226756095886,1
повезти,5,3,accs,pos,0,1,-0.08394090831279755,-0.04807504266500473,0,-0.2625141143798828,0
поверить,3,3,datv,pos,0,1,-0.1616557538509369,-0.03643692284822464,0,-0.2760227918624878,0
повздорить,4,0,ablt,neg,0,0,-0.23851822316646576,-0.10228469222784042,0,-0.40581247210502625,0
погубить,5,0,accs,neg,0,0,-0.29077744483947754,-0.15241940319538116,0,-0.40588557720184326,0
подарить,5,3,datv,pos,1,1,0.10234664380550385,0.05301329493522644,1,0.0695817768573761,1
подводить,4,0,accs,neg,0,0,0.003409274620935321,0.04790174588561058,1,-0.06768543273210526,0
поддерживать,5,3,accs,pos,1,1,0.18132644891738892,0.21239198744297028,1,0.1773938536643982,1
подозревать,4,0,accs,neg,0,0,-0.15924641489982605,-0.04027514532208443,0,-0.340240478515625,0
подорвать,2,0,accs,neg,0,0,-0.24030116200447083,-0.11840205639600754,0,-0.2341625988483429,0
подорожать,2,0,0,null,0,0,-0.09793367981910706,-0.014589261263608932,0,-0.12697480618953705,0
подружиться,5,3,ablt,pos,0,1,-0.027258526533842087,-0.015297471545636654,0,-0.1927688866853714,0
подрывать,5,0,accs,neg,0,0,-0.08982998877763748,-0.06738737225532532,0,-0.1971854716539383,0
пожаловаться,5,0,datv,pos,0,0,-0.06560549139976501,0.011237663216888905,0,-0.21589142084121704,0
пожелать,5,3,loct,pos,1,1,0.16844578087329865,0.08898571878671646,1,0.04730873927474022,1
поздравлять,5,3,accs,pos,1,1,0.17960229516029358,0.08314160257577896,1,0.12393449246883392,1
полюбить,4,3,accs,pos,1,1,0.03301093354821205,-0.0037511184345930815,0,-0.13600502908229828,0
помешать,5,0,datv,neg,0,0,-0.14281433820724487,0.03151451051235199,1,-0.18002939224243164,0
помиловать,5,3,accs,pos,0,1,-0.012995495460927486,-0.04033725708723068,0,-0.16054999828338623,0
помогать,4,3,datv,pos,1,1,0.0826934278011322,0.08483152091503143,1,0.08346675336360931,1
помочь,5,3,datv,pos,0,1,0.011888999491930008,-0.051834721118211746,0,0.039306845515966415,1
понравиться,5,3,datv,pos,1,1,0.11396462470293045,0.17262893915176392,1,0.06186550483107567,1
пообещать,5,3,datv,pos,1,1,0.07865873724222183,0.07129304856061935,1,0.008597362786531448,0
поощрять,5,3,accs,pos,1,1,0.3457656502723694,0.43547892570495605,1,0.30865275859832764,1
порадовать,3,3,accs,pos,1,1,0.1785665899515152,0.14224398136138916,1,0.09554525464773178,1
порадоваться,5,3,accs,pos,1,1,0.05551343038678169,0.09904082864522934,1,-0.05911799147725105,0
порочить,4,0,accs,neg,0,0,-0.08183274418115616,0.02337736450135708,0,-0.25604185461997986,0
портить,4,0,accs,neg,0,0,-0.12945763766765594,-0.08266354352235794,0,-0.30139127373695374,0
поругаться,3,0,ablt,neg,0,0,-0.3708130717277527,-0.3102138638496399,0,-0.43592777848243713,0
посетовать,4,0,accs,neg,1,0,0.08973196148872375,0.05618124082684517,1,-0.08130413293838501,0
поспособствовать,2,3,datv,pos,1,1,0.2965907156467438,0.2285405695438385,1,0.23807553946971893,1
поссориться,2,0,ablt,neg,0,0,-0.3093631863594055,-0.2045750766992569,0,-0.4064367115497589,0
постараться,5,3,0,pos,0,1,-0.024833766743540764,-0.04697949066758156,0,-0.05926092341542244,0
пострадать,4,0,0,neg,0,0,-0.05743026360869408,-0.1149483323097229,0,-0.2212022989988327,0
потерпеть,5,0,0,null,0,0,-0.15021002292633057,-0.07549650967121124,0,-0.34976473450660706,0
потерять,3,0,accs,pos,0,0,-0.21049876511096954,-0.15141142904758453,0,-0.29078176617622375,0
потеснить,5,0,accs,neg,0,0,-0.158494234085083,-0.07329284399747849,0,-0.31441155076026917,0
потребовать,5,0,gent,pos,1,0,0.19468650221824646,0.09854457527399063,1,0.12738774716854095,1
похвалить,3,3,accs,pos,1,1,0.14400088787078857,0.28001147508621216,1,-0.05337632820010185,0
похвастаться,4,3,ablt,pos,1,1,0.07124587148427963,0.06992892920970917,1,-0.03672606870532036,0
похищать,5,0,accs,pos,0,0,-0.19819043576717377,-0.14521385729312897,0,-0.29811668395996094,0
похоронить,5,0,accs,pos,0,0,-0.2522812783718109,-0.23611807823181152,0,-0.3331807255744934,0
пошутить,5,3,ablt,neg,0,1,-0.19970789551734924,-0.04198845848441124,0,-0.34389054775238037,0
пренебрегать,5,0,ablt,neg,1,0,0.12536239624023438,0.05574999749660492,1,-0.05521520972251892,0
препятствовать,4,0,datv,neg,1,0,0.19910414516925812,0.12223850935697556,1,0.09773334115743637,1
прерывать,5,0,accs,neg,0,0,-0.06283369660377502,0.06687184423208237,1,-0.2145337164402008,0
приветствовать,5,3,accs,pos,1,1,0.300176739692688,0.1786375641822815,1,0.22604906558990479,1
привлекать,5,3,accs,pos,1,1,0.1481585055589676,0.19083265960216522,1,0.13539494574069977,1
приговаривать,5,0,accs,neg,0,0,-0.0018596831941977143,0.02900715358555317,0,-0.12115234136581421,0
пригрозить,5,0,datv,neg,0,0,-0.19600582122802734,-0.08488025516271591,0,-0.2384893149137497,0
приказывать,5,0,datv,pos,0,0,-0.03812338411808014,-0.009592799469828606,0,-0.22643907368183136,0
принуждать,3,0,accs,neg,1,0,0.18735027313232422,0.10039850324392319,1,-0.02112445794045925,0
провоцировать,4,0,accs,neg,0,0,0.027222944423556328,0.04130663722753525,1,-0.0032795285806059837,0
прогнать,5,0,accs,neg,0,0,-0.3095775842666626,-0.2359638214111328,0,-0.3485412299633026,0
проигнорировать,3,0,accs,neg,1,0,0.03746233507990837,0.031558819115161896,1,-0.03611419349908829,0
проигрывать,2,0,datv,neg,0,0,-0.11484304070472717,-0.08003827929496765,0,-0.19547294080257416,0
проникать,4,0,accs,pos,0,0,-0.13267424702644348,-0.06763096153736115,0,-0.23371441662311554,0
пропагандировать,4,0,accs,pos,1,0,0.2602473795413971,0.13935987651348114,1,0.1628114879131317,1
прорвать,4,0,accs,null,0,0,-0.24012242257595062,-0.18242980539798737,0,-0.31733089685440063,0
прострелить,4,0,accs,null,0,0,-0.22086484730243683,-0.30603450536727905,0,-0.3493988811969757,0
протестовать,4,0,gent,neg,0,0,0.024985313415527344,-0.003619789844378829,0,-0.09559110552072525,0
противоречить,5,0,datv,neg,1,0,0.13154135644435883,0.07139968872070312,1,-0.011127973906695843,0
профинансировать,4,3,accs,pos,1,1,0.2705545127391815,0.16144876182079315,1,0.3071444630622864,1
пугать,5,0,accs,neg,0,0,-0.3502253293991089,-0.19980388879776,0,-0.3908692002296448,0
пытать,5,0,accs,neg,0,0,-0.2885264754295349,-0.16596157848834991,0,-0.3671373426914215,0
радовать,5,3,accs,pos,1,1,0.14944295585155487,0.11600427329540253,1,0.012052560225129128,0
радоваться,4,3,datv,pos,1,1,0.03162730485200882,0.05230877920985222,1,-0.1515302062034607,0
разбомбить,5,0,accs,neg,0,0,-0.3163334131240845,-0.273667573928833,0,-0.49433276057243347,0
развалиться,4,0,0,null,0,0,-0.19655315577983856,-0.1407930850982666,0,-0.3577801287174225,0
разгневать,2,0,accs,neg,0,0,-0.3490053713321686,-0.13500283658504486,0,-0.4691319465637207,0
разгонять,4,0,accs,neg,0,0,-0.23942452669143677,-0.13079412281513214,0,-0.3181016445159912,0
разграбить,3,0,accs,pos,0,0,-0.21675482392311096,-0.22180652618408203,0,-0.3662213683128357,0
разгромить,5,0,accs,neg,0,0,-0.1624900996685028,-0.1720466911792755,0,-0.283913254737854,0
раздражать,4,0,accs,neg,0,0,-0.19954673945903778,-0.12451503425836563,0,-0.30025380849838257,0
разжигать,5,0,accs,neg,0,0,-0.11943304538726807,-0.03587571159005165,0,-0.24981865286827087,0
разозлиться,4,0,accs,neg,0,0,-0.46182799339294434,-0.26624342799186707,0,-0.47202202677726746,0
разрушать,5,0,accs,neg,0,0,-0.15562736988067627,-0.10936254262924194,0,-0.29716938734054565,0
разыскивать,2,0,accs,pos,0,0,-0.14401055872440338,-0.16332437098026276,0,-0.20070697367191315,0
расплакаться,5,0,accs,neg,0,0,-0.39979252219200134,-0.22366808354854584,0,-0.4774910807609558,0
расстреливать,4,0,accs,neg,0,0,-0.2614152133464813,-0.3063525855541229,0,-0.4017044007778168,0
ратифицировать,4,3,accs,pos,1,1,0.18601015210151672,0.06863711029291153,1,0.19190745055675507,1
рекомендовать,5,3,accs,pos,1,1,0.40676864981651306,0.2371383160352707,1,0.32922372221946716,1
ругаться,5,0,accs,neg,0,0,-0.4631490409374237,-0.3668152391910553,0,-0.497068852186203,0
сетовать,5,0,accs,neg,0,0,0.016688033938407898,0.01460996363312006,0,-0.14711511135101318,0
симпатизировать,4,3,datv,pos,1,1,0.2044801563024521,0.1124582439661026,1,0.04938836023211479,1
скончаться,4,0,0,neg,0,0,-0.2900722920894623,-0.12161707878112793,0,-0.3210712671279907,0
скрывать,2,0,accs,pos,0,0,-0.1141047328710556,-0.04038935527205467,0,-0.2666596472263336,0
сломать,5,0,accs,neg,0,0,-0.35524117946624756,-0.23563717305660248,0,-0.4456157982349396,0
сломаться,3,0,0,neg,0,0,-0.3884989321231842,-0.22868679463863373,0,-0.4246017634868622,0
совершенствовать,5,3,accs,pos,1,1,0.25326672196388245,0.13997863233089447,1,0.2153247892856598,1
соглашаться,4,3,ablt,pos,1,1,0.140054851770401,0.1828441172838211,1,-0.014391575939953327,0
содействовать,4,3,datv,pos,1,1,0.2921491265296936,0.23957183957099915,1,0.3213523030281067,1
сомневаться,5,0,loct,neg,0,0,-0.09233025461435318,0.013373738154768944,0,-0.21818093955516815,0
сопротивляться,4,0,datv,neg,0,0,-0.17779721319675446,-0.10898209363222122,0,-0.21362566947937012,0
сорвать,4,0,datv,neg,0,0,-0.22983790934085846,-0.09494940936565399,0,-0.27234193682670593,0
сотрудничать,4,3,ablt,pos,1,1,0.1411842703819275,0.04304514825344086,1,0.15776577591896057,1
сочувствовать,4,3,datv,pos,0,1,-0.009613916277885437,0.10330172628164291,1,-0.17763948440551758,0
спасать,4,3,accs,pos,0,1,-0.19902609288692474,-0.055590711534023285,0,-0.2777594029903412,0
спасаться,3,3,gent,neg,0,1,-0.26023828983306885,-0.15095919370651245,0,-0.3499101400375366,0
спонсировать,3,3,accs,pos,1,1,0.20491567254066467,0.17720550298690796,1,0.17831680178642273,1
способствовать,5,3,datv,pos,1,1,0.3062947690486908,0.25326064229011536,1,0.25523000955581665,1
спровоцировать,4,0,accs,neg,0,0,0.005182521417737007,0.06570011377334595,1,-0.01697336509823799,0
спрятать,4,0,accs,pos,0,0,-0.21548502147197723,-0.10508456081151962,0,-0.340686559677124,0
срывать,4,0,accs,neg,0,0,-0.2610507011413574,-0.04744816944003105,0,-0.36754000186920166,0
ссориться,4,0,ablt,neg,0,0,-0.30181121826171875,-0.20950664579868317,0,-0.42313602566719055,0
страдать,4,0,0,neg,0,0,-0.178216353058815,-0.13950228691101074,0,-0.30256688594818115,0
стрелять,4,0,accs,neg,0,0,-0.253104567527771,-0.2631283104419708,0,-0.3721930682659149,0
субсидировать,3,3,accs,pos,1,1,0.2099696844816208,0.09806815534830093,1,0.1959519386291504,1
творить,5,3,accs,pos,0,1,-0.02914399281144142,0.02783893793821335,0,-0.1504696160554886,0
терроризировать,4,0,accs,neg,0,0,-0.011822417378425598,-0.07768863439559937,0,-0.09702370315790176,0
терять,4,0,accs,pos,0,0,-0.22835858166217804,-0.12892307341098785,0,-0.25396376848220825,0
толкать,5,0,accs,neg,0,0,-0.2692048251628876,-0.12018110603094101,0,-0.3527928590774536,0
толкнуть,5,0,accs,neg,0,0,-0.3295413851737976,-0.11909482628107071,0,-0.4320087730884552,0
травить,4,0,accs,neg,0,0,-0.19579367339611053,-0.1629621386528015,0,-0.3643261790275574,0
травмировать,4,0,accs,neg,0,0,-0.08571700006723404,-0.13542212545871735,0,-0.18414054811000824,0
требовать,4,0,accs,pos,1,0,0.1569165140390396,0.12061932682991028,1,0.1353287696838379,1
убивать,4,0,accs,neg,0,0,-0.42538025975227356,-0.3600139021873474,0,-0.4806312918663025,0
